URN,Provision type,Registration Status,Sector,Owner,Source
SC386522,Children's home,Active,Private,Keys Education Limited,ofsted-spreadsheets
SC386651,Children's home,Active,Private,Broadwood Education Services,ofsted-spreadsheets
SC386810,Children's home,Active,Private,Crossway Services Limited,ofsted-spreadsheets
SC386837,Children's home,Active,Private,New Horizons (stockport) Ltd,ofsted-spreadsheets
SC387148,Children's home,Active,Private,Fairfield Residential Ltd,ofsted-spreadsheets
SC387684,Children's home,Active,Private,Esland South Limited,ofsted-spreadsheets
SC388991,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC389174,Children's home,Active,Private,Keys Group Progressive Care & Education Limited,ofsted-spreadsheets
SC389178,Children's home,Active,Private,Keys Group Progressive Care & Education Limited,ofsted-spreadsheets
SC389180,Children's home,Active,Private,Keys Group Progressive Care & Education Limited,ofsted-spreadsheets
SC389183,Children's home,Active,Private,Keys Group Progressive Care & Education Limited,ofsted-spreadsheets
SC389649,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC389698,Children's home,Active,Private,Oracle Care Limited,ofsted-spreadsheets
SC389781,Children's home,Active,Private,The Qalb Short Break Services Ltd,ofsted-spreadsheets
SC389823,Children's home,Active,Private,Courtyard Care Limited,ofsted-spreadsheets
SC389830,Children's home,Active,Private,Reflexion Care Group Limited,ofsted-spreadsheets
SC390156,Children's home,Active,Private,Pilgrims Corner Limited,ofsted-spreadsheets
SC390167,Children's home,Active,Private,Pilgrims Corner Limited,ofsted-spreadsheets
SC390190,Children's home,Active,Private,Pathway Care Solutions Ii Ltd,ofsted-spreadsheets
SC390293,Children's home,Active,Private,First 4 Care Ltd,ofsted-spreadsheets
SC390434,Children's home,Active,Private,Crystal Care Solutions Limited Company Number 05952454,ofsted-spreadsheets
SC390576,Children's home,Active,Private,The Partnership of Care Today Children's Services,ofsted-spreadsheets
SC390577,Children's home,Active,Private,Meadows Care Ltd,ofsted-spreadsheets
SC390785,Children's home,Active,Private,My Choice Children's Homes Ltd,ofsted-spreadsheets
SC391379,Children's home,Active,Private,Benjamin Uk Ltd,ofsted-spreadsheets
SC391594,Children's home,Active,Private,Pathway Care Solutions Ii Ltd,ofsted-spreadsheets
SC391708,Children's home,Active,Private,Fairways Care (uk) Limited,ofsted-spreadsheets
SC391739,Children's home,Active,Private,Keys Specialist Residential Children's Services Ltd,ofsted-spreadsheets
SC391860,Residential special school (registered as a children's home),Active,Private,Priory Education Services Limited 06244880,ofsted-spreadsheets
SC392408,Children's home,Active,Private,Oracle Care Limited,ofsted-spreadsheets
SC392492,Children's home,Active,Private,Dmr Services Limited,ofsted-spreadsheets
SC392549,Children's home,Active,Private,Duty of Care Limited,ofsted-spreadsheets
SC392712,Children's home,Active,Private,Capstone Care Provider Limited,ofsted-spreadsheets
SC393228,Children's home,Active,Private,Marlowe Child & Family Services Limited,ofsted-spreadsheets
SC393567,Children's home,Active,Private,Priory Education Services Limited 06244880,ofsted-spreadsheets
SC393940,Children's home,Active,Private,Potton Homes Ltd,ofsted-spreadsheets
SC394463,Children's home,Active,Private,Cornerstone Children's Homes Limited,ofsted-spreadsheets
SC394478,Children's home,Active,Private,Cornerstone Children's Homes Limited,ofsted-spreadsheets
SC394875,Children's home,Active,Private,Future In Mind Limited,ofsted-spreadsheets
SC394909,Children's home,Active,Private,Right-Trak Limited,ofsted-spreadsheets
SC395716,Children's home,Resigned,Private,Bettercare Keys Ltd,ofsted-spreadsheets
SC396104,Children's home,Active,Private,Full Circle Care,ofsted-spreadsheets
SC396186,Children's home,Active,Private,Living Life (UK) Limited,ofsted-spreadsheets
SC396463,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC396721,Children's home,Active,Private,Reflexion Care Group Limited,ofsted-spreadsheets
SC397092,Children's home,Active,Private,Bryn Melyn Care,ofsted-spreadsheets
SC397112,Children's home,Active,Private,Alliance Care & Education Limited,ofsted-spreadsheets
SC397987,Children's home,Active,Private,Fairfield Residential Ltd,ofsted-spreadsheets
SC398253,Children's home,Active,Private,North Lakes Children's Services Limited,ofsted-spreadsheets
SC398367,Children's home,Active,Private,Cherry Cottage Limited,ofsted-spreadsheets
SC398377,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398385,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398386,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398391,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398392,Children's home,Resigned,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398393,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398480,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398481,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC398482,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC399586,Children's home,Active,Private,First 4 Care Ltd,ofsted-spreadsheets
SC399866,Children's home,Active,Private,Island Choices Ltd,ofsted-spreadsheets
SC400212,Children's home,Resigned,Private,Bettercare Keys Ltd,ofsted-spreadsheets
SC400219,Children's home,Active,Private,Bettercare Keys Ltd,ofsted-spreadsheets
SC400355,Children's home,Active,Private,Social Care Services (clayton) Limited,ofsted-spreadsheets
SC400880,Children's home,Active,Private,Choices 4 Children Ltd,ofsted-spreadsheets
SC401364,Residential special school (registered as a children's home),Active,Private,Cruckton Hall Limited,ofsted-spreadsheets
SC401603,Residential special school (registered as a children's home),Resigned,Private,Roc Northwest Ltd,ofsted-spreadsheets
SC401685,Residential special school (registered as a children's home),Active,Private,Priory Education Services Limited 06244880,ofsted-spreadsheets
SC401927,Children's home,Active,Private,Benecare Limited,ofsted-spreadsheets
SC402135,Children's home,Active,Private,New Forest Care Ltd,ofsted-spreadsheets
SC402370,Residential special school (registered as a children's home),Active,Private,Kedleston (Wings Education) Limited,ofsted-spreadsheets
SC402385,Children's home,Active,Private,Priory Education & Children's Services,ofsted-spreadsheets
SC402406,Children's home,Active,Private,Priory Education & Children's Services,ofsted-spreadsheets
SC402426,Children's home,Active,Private,Priory Education Services Limited 06244880,ofsted-spreadsheets
SC403234,Children's home,Active,Private,Phoenix Child Care Limited,ofsted-spreadsheets
SC403462,Children's home,Active,Private,Frances House Ltd,ofsted-spreadsheets
SC403464,Children's home,Active,Private,Aspire Child Care Ltd,ofsted-spreadsheets
SC403472,Children's home,Active,Private,Artemis Support Ltd,ofsted-spreadsheets
SC403493,Residential special school (registered as a children's home),Active,Private,Blackford Education (schools) Ltd,ofsted-spreadsheets
SC403789,Children's home,Active,Private,Cove Care Residential Ltd,ofsted-spreadsheets
SC403890,Children's home,Active,Private,The Partnership of Care Today Children's Services,ofsted-spreadsheets
SC403905,Children's home,Active,Private,Rubicon Children's Homes Limited,ofsted-spreadsheets
SC404119,Children's home,Resigned,Private,Capstone Care Provider Limited,ofsted-spreadsheets
SC404596,Residential special school (registered as a children's home),Active,Private,The Senad Group Limited,ofsted-spreadsheets
SC404983,Children's home,Active,Private,Roundhouse Care Ltd,ofsted-spreadsheets
SC405448,Children's home,Active,Private,Quality Protects Children Ltd,ofsted-spreadsheets
SC405649,Children's home,Active,Private,Utopia Children's Services Ltd,ofsted-spreadsheets
SC405713,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC405772,Children's home,Active,Private,Lynstead Childrens Services Ltd,ofsted-spreadsheets
SC405977,Children's home,Active,Private,Reflexion Care Group Limited,ofsted-spreadsheets
SC405985,Children's home,Active,Private,ERA Care Limited 5921904,ofsted-spreadsheets
SC406063,Children's home,Active,Private,Pathway Care Solutions Ii Ltd,ofsted-spreadsheets
SC406636,Children's home,Active,Private,Building Bridges Care Homes Ltd,ofsted-spreadsheets
SC406638,Children's home,Active,Private,Winsbeach Children's Home Limited,ofsted-spreadsheets
SC407169,Children's home,Active,Private,Choices Home For Children Limited,ofsted-spreadsheets
SC407326,Children's home,Active,Private,CareTech Community Services Limited,ofsted-spreadsheets
SC407430,Children's home,Active,Private,Wessex College,ofsted-spreadsheets
SC407753,Children's home,Active,Private,3 Dimensions Care Limited,ofsted-spreadsheets
SC407783,Children's home,Active,Private,Priory Education Services Limited 06244880,ofsted-spreadsheets
SC407787,Children's home,Active,Private,Priory Education & Children's Services,ofsted-spreadsheets
SC407790,Children's home,Active,Private,Priory Education & Children's Services,ofsted-spreadsheets
SC407929,Children's home,Active,Private,Our Place (2008) Ltd,ofsted-spreadsheets
SC407933,Children's home,Active,Private,Prestige Adolescent Care And Education Limited,ofsted-spreadsheets
SC408149,Children's home,Active,Private,Phoenix Child Care Limited,ofsted-spreadsheets
SC408513,Children's home,Active,Private,Oracle Care Limited,ofsted-spreadsheets
SC408584,Children's home,Active,Private,Channels and Choices Limited,ofsted-spreadsheets
SC408655,Children's home,Active,Private,Priory Education & Children's Services,ofsted-spreadsheets
SC408656,Children's home,Active,Private,Highfield (North East) Limited,ofsted-spreadsheets
SC408714,Children's home,Active,Private,Able Health Care Limited,ofsted-spreadsheets
SC409851,Children's home,Active,Private,Westgate Lifestyle Project Limited,ofsted-spreadsheets
SC410535,Children's home,Active,Private,Positive Pathways Limited,ofsted-spreadsheets
SC410539,Children's home,Active,Private,Positive Pathways Limited,ofsted-spreadsheets
SC410545,Children's home,Active,Private,Positive Pathways Limited,ofsted-spreadsheets
SC411030,Children's home,Active,Private,Meadows Care Ltd,ofsted-spreadsheets
SC411054,Children's home,Active,Private,Horizon Care Limited,ofsted-spreadsheets
SC411074,Children's home,Active,Private,Searchlight Care Services Ltd,ofsted-spreadsheets
SC411142,Children's home,Active,Private,Bryn Melyn Care,ofsted-spreadsheets
SC411208,Children's home,Active,Private,Safehaven Residential and Respite Care Limited,ofsted-spreadsheets
SC411616,Children's home,Active,Private,Calcot Services For Children Limited,ofsted-spreadsheets
SC411798,Children's home,Active,Private,Crossways Care Ltd,ofsted-spreadsheets
SC411825,Children's home,Active,Private,Inspire Childrens Services Limited,ofsted-spreadsheets
SC411832,Children's home,Active,Private,Tulip Care Two Limited,ofsted-spreadsheets
SC412175,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC412296,Children's home,Active,Private,Springfield Road Childrens Homes Ltd,ofsted-spreadsheets
SC412385,Children's home,Active,Private,Unity Residential Care Services,ofsted-spreadsheets
SC412476,Children's home,Active,Private,Keys Group Progressive Care & Education Limited,ofsted-spreadsheets
SC412687,Children's home,Active,Private,Social Care Services (clayton) Limited,ofsted-spreadsheets
SC412953,Children's home,Active,Private,Benjamin Uk Ltd,ofsted-spreadsheets
SC412971,Children's home,Active,Private,Priory New Education Services Limited 07221650,ofsted-spreadsheets
SC412979,Children's home,Active,Private,Priory New Education Services Limited 07221650,ofsted-spreadsheets
SC413078,Children's home,Active,Private,Castle Homes Care Ltd,ofsted-spreadsheets
SC413085,Children's home,Active,Private,Castle Homes Limited,ofsted-spreadsheets
SC413106,Children's home,Active,Private,Castle Homes Limited,ofsted-spreadsheets
SC413223,Children's home,Active,Private,2nd Nurture Ltd,ofsted-spreadsheets
SC413678,Children's home,Active,Private,Horton Establishments Ltd,ofsted-spreadsheets
SC413779,Children's home,Active,Private,Aspire Child Care Ltd,ofsted-spreadsheets
SC413987,Children's home,Active,Private,Horton Establishments Ltd,ofsted-spreadsheets
SC413992,Residential special school (registered as a children's home),Active,Private,Mayne Enterprises Limited,ofsted-spreadsheets
SC414296,Children's home,Active,Private,Total Care Matters Limited,ofsted-spreadsheets
SC414516,Children's home,Active,Private,Blue Mountain Homes Ltd,ofsted-spreadsheets
SC414738,Children's home,Active,Private,Benjamin Uk Ltd,ofsted-spreadsheets
SC415347,Children's home,Active,Private,Hillcrest Childrens Services (2) Limited,ofsted-spreadsheets
SC415548,Children's home,Active,Private,Outdoor Care Limited,ofsted-spreadsheets
SC415710,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
SC416267,Children's home,Active,Private,Time-Out Childrens Homes Limited,ofsted-spreadsheets
SC416318,Children's home,Active,Private,Bay View Child Care Limited,ofsted-spreadsheets
SC416464,Children's home,Active,Private,Meadows Care Ltd,ofsted-spreadsheets
SC416599,Children's home,Active,Private,North Lakes Children's Services Limited,ofsted-spreadsheets
SC416915,Children's home,Active,Private,Acorn Homes (uk) Ltd,ofsted-spreadsheets
SC417031,Children's home,Active,Private,Pathways Care Group Limited,ofsted-spreadsheets
SC417250,Children's home,Active,Private,Calcot Services For Children Limited,ofsted-spreadsheets
SC417351,Children's home,Active,Private,Pathways Care Group Limited,ofsted-spreadsheets
SC417360,Children's home,Active,Private,Castlecare Cymru Limited,ofsted-spreadsheets
SC417371,Children's home,Active,Private,Quantum Care UK Limited,ofsted-spreadsheets
SC417387,Children's home,Active,Private,Quantum Care UK Limited,ofsted-spreadsheets
SC417795,Children's home,Active,Private,Pebbles Care Limited,ofsted-spreadsheets
SC418605,Children's home,Active,Private,Pear Tree Projects Limited,ofsted-spreadsheets
SC419217,Children's home,Active,Private,Care And Management Services Limited,ofsted-spreadsheets
SC419229,Children's home,Active,Private,Care And Management Services Limited,ofsted-spreadsheets
SC419330,Children's home,Active,Private,Castle Homes Limited,ofsted-spreadsheets
SC419334,Children's home,Active,Private,Castle Homes Limited,ofsted-spreadsheets
SC419429,Children's home,Active,Private,Direct Care Ltd,ofsted-spreadsheets
SC419808,Children's home,Active,Private,Good Foundations Limited,ofsted-spreadsheets
SC420066,Children's home,Resigned,Private,Elizabeth Marland Children's Respite Care Limited,ofsted-spreadsheets
SC420303,Children's home,Active,Private,The Qalb Short Break Services Ltd,ofsted-spreadsheets
SC420388,Children's home,Active,Private,Alliance Care & Education Limited,ofsted-spreadsheets
SC420410,Children's home,Active,Private,Arc Hd Services Ltd,ofsted-spreadsheets
SC420876,Children's home,Active,Private,Prestige Adolescent Care And Education Limited,ofsted-spreadsheets
SC421063,Children's home,Active,Private,Bettercare Keys Ltd,ofsted-spreadsheets
SC421197,Children's home,Active,Private,ABC Care and Education Ltd,ofsted-spreadsheets
SC421531,Children's home,Active,Private,Oracle Care Limited,ofsted-spreadsheets
SC421995,Children's home,Resigned,Private,Acorn Care (NE) Limited,ofsted-spreadsheets
SC422481,Children's home,Active,Private,Inspire Childrens Services Limited,ofsted-spreadsheets
